Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:26,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:31,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:37,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:41,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:49,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:53,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:56,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:23:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:10,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:19,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:23,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:27,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:36,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:44,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:48,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:53,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:24:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:05,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:08,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:11,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:25,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:29,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:32,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:36,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:41,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:44,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:49,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:52,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:25:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:03,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:06,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:14,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:28,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:44,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:26:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:03,2021-03-13
